id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
NSF	4	0.00024575	0.00091146	0.183839	96	4	-1.4648	0.9958	0.99582	1.0	19068	0	-1.4648
NCAPG2	4	0.00026053	0.00096821	0.193273	97	4	-1.7706	0.99974	0.99974	1.0	19310	0	-1.7706
NOC2L	4	0.00027843	0.0010337	0.193368	98	3	-1.4171	0.97823	0.97827	1.0	18569	0	-1.4171
NCAPG	4	0.00028445	0.0010567	0.193368	99	4	-1.2833	0.99972	0.99972	1.0	19309	0	-1.2833
ASH2L	4	0.00028592	0.0010608	0.193368	100	4	-0.80634	0.9975	0.99751	1.0	19141	0	-0.80634
LSM2	4	0.00028998	0.0010741	0.193368	101	3	-1.4394	0.72962	0.72908	1.0	13708	0	-1.4394
ETF1	4	0.00029051	0.0010761	0.193368	102	3	-2.5141	0.93218	0.93195	1.0	17563	0	-2.5141
NUP35	4	0.00029088	0.0010776	0.193368	103	4	-1.3741	0.99971	0.99972	1.0	19308	0	-1.3741
SLMO2	4	0.00029666	0.0011006	0.193368	104	4	-1.5697	0.99647	0.99648	1.0	19102	0	-1.5697
RAB6A	4	0.00029693	0.0011017	0.193368	105	3	-1.4113	0.6427	0.64216	1.0	12056	0	-1.4113
CCNH	4	0.00029789	0.0011042	0.193368	106	4	-1.11	0.9997	0.99971	1.0	19307	0	-1.11
PRPF4	4	0.00029883	0.0011068	0.193368	107	4	-1.9726	0.9997	0.99971	1.0	19306	0	-1.9726
IARS	4	0.00029954	0.0011083	0.193368	108	4	-1.7565	0.9997	0.99971	1.0	19305	0	-1.7565
FAM69A	4	0.00030018	0.0011093	0.193368	109	4	-1.8197	0.99912	0.99911	1.0	19242	0	-1.8197
CRKL	4	0.00030619	0.0011298	0.193368	110	4	-1.7205	0.99852	0.99853	1.0	19198	0	-1.7205
POLR3A	4	0.0003084	0.001139	0.193368	111	4	-1.5514	0.99969	0.9997	1.0	19303	0	-1.5514
MCM4	4	0.00031061	0.0011446	0.193368	112	3	-2.001	0.91489	0.91466	1.0	17221	0	-2.001
DHPS	4	0.0003109	0.0011451	0.193368	113	3	-1.6108	0.94065	0.94059	1.0	17737	0	-1.6108
PRPF8	4	0.00031256	0.0011502	0.193368	114	4	-1.8321	0.99819	0.99822	1.0	19171	0	-1.8321
RMI1	4	0.00031376	0.0011543	0.193368	115	4	-1.3492	0.99969	0.9997	1.0	19302	0	-1.3492
EPRS	4	0.00031462	0.0011584	0.193368	116	4	-1.3248	0.99969	0.9997	1.0	19301	0	-1.3248
EFTUD2	4	0.00032212	0.0011866	0.194843	117	2	-1.7441	0.077425	0.14008	0.985604	2751	1	-1.7441
TSPAN2	4	0.00032666	0.0012029	0.194843	118	2	-0.96577	0.51792	0.52378	1.0	9864	1	-0.96577
PARVA	4	0.00032757	0.0012055	0.194843	119	4	-1.9314	0.99914	0.99913	1.0	19243	0	-1.9314
ANKFY1	4	0.00032822	0.0012075	0.194843	120	4	-1.5446	0.99967	0.99969	1.0	19300	0	-1.5446
EP400	4	0.0003379	0.0012428	0.198879	121	4	-1.0933	0.99884	0.99883	1.0	19225	0	-1.0933
GOLT1A	4	0.00034265	0.0012581	0.199026	122	4	-0.90765	0.99966	0.99967	1.0	19299	0	-0.90765
TUT1	4	0.0003437	0.0012643	0.199026	123	4	-1.4068	0.99966	0.99967	1.0	19298	0	-1.4068
KIAA0100	4	0.00035782	0.0013215	0.204792	124	4	-1.4931	0.99964	0.99965	1.0	19296	0	-1.4931
GFER	4	0.0003581	0.0013221	0.204792	125	4	-1.39	0.99964	0.99965	1.0	19295	0	-1.39
RPL4	4	0.00036629	0.0013573	0.208589	126	4	-1.3798	0.99963	0.99965	1.0	19294	0	-1.3798
MCM3	4	0.00038988	0.001434	0.217242	127	3	-0.98606	0.93933	0.93932	1.0	17701	0	-0.98606
LUC7L3	4	0.00039054	0.0014361	0.217242	128	4	-1.1953	0.99961	0.99962	1.0	19293	0	-1.1953
WDR70	4	0.00039884	0.0014627	0.218313	129	4	-1.2604	0.9996	0.99962	1.0	19292	0	-1.2604
EIF4A1	4	0.0004009	0.0014714	0.218313	130	4	-1.6375	0.9996	0.99962	1.0	19291	0	-1.6375
EXOSC8	4	0.00040279	0.001477	0.218313	131	3	-1.407	0.88653	0.88619	1.0	16657	0	-1.407
OSBPL8	4	0.00041276	0.0015179	0.220943	132	3	-1.8665	0.70928	0.70858	1.0	13309	0	-1.8665
INTS7	4	0.000415	0.0015245	0.220943	133	4	-1.3881	0.99958	0.9996	1.0	19290	0	-1.3881
CDC20	4	0.00042085	0.0015419	0.220943	134	3	-2.077	0.90192	0.90155	1.0	16947	0	-2.077
ANKRA2	4	0.00042754	0.0015639	0.220943	135	4	-1.5611	0.99957	0.99959	1.0	19289	0	-1.5611
DDX18	4	0.00042784	0.0015644	0.220943	136	4	-2.0018	0.99715	0.99716	1.0	19130	0	-2.0018
SPC25	4	0.00043062	0.0015729	0.220943	137	3	-1.7567	0.58342	0.58323	1.0	10996	1	-1.7567
POLR1C	4	0.00043103	0.0015747	0.220943	138	4	-1.6127	0.99957	0.99959	1.0	19288	0	-1.6127
ATP6AP2	4	0.0004417	0.0016181	0.223798	139	4	-1.0386	0.99956	0.99958	1.0	19286	0	-1.0386
TRRAP	4	0.00044185	0.0016181	0.223798	140	4	-1.3861	0.9973	0.99731	1.0	19135	0	-1.3861
ZNF735	4	0.00045209	0.0016595	0.227898	141	4	-1.5225	0.99955	0.99957	1.0	19285	0	-1.5225
MED28	4	0.00046738	0.0017204	0.234591	142	3	-1.9213	0.1535	0.24351	1.0	4662	1	-1.9213
POLR1E	4	0.00047342	0.0017429	0.235997	143	2	-1.361	0.13668	0.22084	1.0	4249	1	-1.361
TRMT5	4	0.00048113	0.0017741	0.238521	144	4	-1.5297	0.99952	0.99954	1.0	19284	0	-1.5297
DDX54	4	0.00048963	0.0018032	0.238521	145	4	-0.91694	0.99951	0.99953	1.0	19283	0	-0.91694
GTF2A1	4	0.00049383	0.0018196	0.238521	146	4	-0.96832	0.99412	0.99417	1.0	19017	0	-0.96832
ZC3H8	4	0.00049444	0.0018211	0.238521	147	4	-1.1118	0.99951	0.99952	1.0	19282	0	-1.1118
LSM5	4	0.00049772	0.0018329	0.238521	148	4	-1.1693	0.9995	0.99952	1.0	19281	0	-1.1693
ERH	4	0.00049838	0.0018354	0.238521	149	4	-2.0719	0.99837	0.99839	1.0	19186	0	-2.0719
LPAR1	4	0.00051974	0.0019116	0.246766	150	4	-1.4071	0.99948	0.9995	1.0	19279	0	-1.4071
PSMG3	4	0.00053264	0.0019525	0.246818	151	4	-1.4572	0.99607	0.99609	1.0	19083	0	-1.4572
POLR3F	4	0.00053274	0.0019525	0.246818	152	4	-1.2009	0.99947	0.99948	1.0	19278	0	-1.2009
NUB1	4	0.00054065	0.0019745	0.246818	153	2	-1.6494	0.61247	0.61193	1.0	11507	0	-1.6494
NLRC3	4	0.00054065	0.0019745	0.246818	154	3	-2.047	0.956	0.95592	1.0	18055	0	-2.047
ARMC7	4	0.00054377	0.0019832	0.246818	155	4	-1.3027	0.99946	0.99947	1.0	19277	0	-1.3027
UPF2	4	0.0005458	0.0019929	0.246818	156	2	-0.77726	0.2565	0.3342	1.0	6328	1	-0.77726
TBCB	4	0.0005499	0.0020088	0.246818	157	4	-1.5325	0.99945	0.99946	1.0	19276	0	-1.5325
KANSL3	4	0.00055543	0.0020313	0.246818	158	4	-1.0069	0.99944	0.99946	1.0	19275	0	-1.0069
WDR12	4	0.00055703	0.00204	0.246818	159	4	-1.3253	0.99944	0.99945	1.0	19274	0	-1.3253
TSFM	4	0.00055996	0.0020522	0.246818	160	4	-1.4402	0.99944	0.99945	1.0	19273	0	-1.4402
ICMT	4	0.00055996	0.0020522	0.246818	161	4	-1.2453	0.99944	0.99945	1.0	19272	0	-1.2453
TRAPPC1	4	0.00057951	0.0021315	0.253109	162	4	-1.7367	0.99942	0.99943	1.0	19271	0	-1.7367
NIPBL	4	0.00058253	0.0021417	0.253109	163	4	-1.327	0.99942	0.99943	1.0	19270	0	-1.327
TWISTNB	4	0.00058311	0.0021438	0.253109	164	4	-2.4327	0.98857	0.98861	1.0	18843	0	-2.4327
SERF2	4	0.00059377	0.0021755	0.255296	165	3	-1.4505	0.89718	0.89687	1.0	16854	0	-1.4505
DIS3	4	0.00059777	0.0021898	0.255428	166	2	-0.42462	0.49767	0.50673	1.0	9532	1	-0.42462
PSMB2	4	0.00060407	0.0022143	0.256744	167	4	-1.2941	0.9994	0.99941	1.0	19269	0	-1.2941
CD2BP2	4	0.00061537	0.0022619	0.25785	168	4	-1.0943	0.99938	0.99939	1.0	19268	0	-1.0943
TRAPPC11	4	0.00062005	0.0022772	0.25785	169	4	-0.89761	0.99938	0.99939	1.0	19267	0	-0.89761
CPSF3	4	0.00062271	0.002288	0.25785	170	4	-1.4114	0.99938	0.99939	1.0	19266	0	-1.4114
AARS	4	0.00062477	0.0022926	0.25785	171	3	-1.32	0.48955	0.50005	1.0	9400	1	-1.32
INTS9	4	0.00062871	0.0023054	0.25785	172	3	-1.8588	0.68103	0.6804	1.0	12792	0	-1.8588
TUBGCP2	4	0.0006326	0.0023192	0.25785	173	3	-1.6809	0.99937	0.99938	1.0	19265	0	-1.6809
PPIE	4	0.00063266	0.0023192	0.25785	174	2	-0.95354	0.61374	0.61321	1.0	11533	0	-0.95354
TBCD	4	0.00063593	0.0023304	0.25785	175	4	-1.0776	0.99936	0.99937	1.0	19264	0	-1.0776
YARS	4	0.00064283	0.0023565	0.259254	176	4	-1.4431	0.99936	0.99936	1.0	19263	0	-1.4431
GEMIN7	4	0.00064973	0.0023805	0.260418	177	3	-1.036	0.41561	0.44223	1.0	8326	1	-1.036
MTFR1L	4	0.00065469	0.0023984	0.260902	178	3	-1.2626	0.88958	0.88925	1.0	16714	0	-1.2626
TCEAL2	4	0.00066086	0.0024245	0.260974	179	4	-1.1827	0.99934	0.99935	1.0	19262	0	-1.1827
PSMA4	4	0.00066129	0.002426	0.260974	180	4	-1.3119	0.99934	0.99935	1.0	19261	0	-1.3119
CARS	4	0.00066817	0.0024475	0.261829	181	4	-1.2512	0.99933	0.99934	1.0	19260	0	-1.2512
FERMT2	4	0.00067624	0.0024772	0.263546	182	3	-1.333	0.81156	0.81118	1.0	15238	0	-1.333
VPS51	4	0.00068541	0.0025119	0.265785	183	4	-1.1842	0.99931	0.99932	1.0	19259	0	-1.1842
NOL9	4	0.00069258	0.0025401	0.266979	184	3	-1.5518	0.98159	0.9816	1.0	18658	0	-1.5518
ZBTB8OS	4	0.00069537	0.0025508	0.266979	185	4	-1.0262	0.9993	0.99931	1.0	19258	0	-1.0262
TIPARP	4	0.00070365	0.0025774	0.268312	186	4	-1.5597	0.9993	0.9993	1.0	19257	0	-1.5597
TOMM22	4	0.00070793	0.0025953	0.26873	187	4	-1.4383	0.99929	0.99929	1.0	19256	0	-1.4383
ALG11	4	0.00071878	0.002629	0.269815	188	3	-1.7716	0.68301	0.68237	1.0	12835	0	-1.7716
BRF1	4	0.00071996	0.0026336	0.269815	189	4	-1.1333	0.99928	0.99928	1.0	19255	0	-1.1333
BNIP1	4	0.00073018	0.0026715	0.272251	190	4	-1.6245	0.99927	0.99927	1.0	19254	0	-1.6245
GABBR1	4	0.00073432	0.0026935	0.272406	191	3	-2.0228	0.70444	0.7037	1.0	13236	0	-2.0228
NBPF15	4	0.00073725	0.0027011	0.272406	192	4	-1.3981	0.99926	0.99926	1.0	19253	0	-1.3981
AKIRIN1	4	0.00074455	0.0027226	0.273149	193	3	-1.9403	0.021377	0.054029	0.948024	1102	1	-1.9403
NOP14	4	0.00075366	0.0027538	0.274855	194	2	-0.97511	0.94241	0.94234	1.0	17769	0	-0.97511
POLR2K	4	0.00075794	0.0027707	0.275121	195	4	-1.2415	0.99924	0.99924	1.0	19252	0	-1.2415
NUBP1	4	0.00076449	0.0027937	0.27599	196	4	-1.0753	0.99924	0.99924	1.0	19250	0	-1.0753
CDC26	4	0.00077554	0.0028341	0.277253	197	4	-1.5839	0.99922	0.99922	1.0	19249	0	-1.5839
EIF2B3	4	0.00077615	0.0028351	0.277253	198	4	-1.4375	0.99922	0.99922	1.0	19248	0	-1.4375
TCEB2	4	0.00078806	0.0028801	0.280238	199	4	-1.1319	0.99921	0.99921	1.0	19247	0	-1.1319
MARS	4	0.000795	0.0029052	0.281262	200	2	-1.1978	0.87107	0.87067	1.0	16335	0	-1.1978
PABPC3	4	0.00080562	0.0029455	0.283754	201	3	-0.98557	0.94038	0.94034	1.0	17730	0	-0.98557
GLE1	4	0.0008161	0.0029808	0.285446	202	3	-2.8722	0.96553	0.96546	1.0	18262	0	-2.8722
LOXL3	4	0.00081883	0.0029926	0.285446	203	4	-1.0804	0.99918	0.99917	1.0	19246	0	-1.0804
RPS4X	4	0.00082688	0.0030182	0.286474	204	3	-1.3877	0.85957	0.85907	1.0	16136	0	-1.3877
EIF1AX	4	0.00083659	0.0030473	0.287829	205	4	-1.2029	0.99916	0.99915	1.0	19245	0	-1.2029
ESF1	4	0.00084525	0.003078	0.289316	206	3	-1.2533	0.967	0.96694	1.0	18297	0	-1.2533
EIF3E	4	0.00085333	0.0031071	0.290644	207	4	-1.2118	0.99915	0.99914	1.0	19244	0	-1.2118
CENPL	4	0.0008691	0.003169	0.295007	208	2	-1.2225	0.91366	0.91343	1.0	17196	0	-1.2225
NMD3	4	0.0008914	0.0032503	0.301127	209	4	-1.466	0.99824	0.99826	1.0	19177	0	-1.466
CCNJL	4	0.0009074	0.0033019	0.301685	210	4	-1.73	0.99909	0.99908	1.0	19241	0	-1.73
POP7	4	0.00090954	0.0033091	0.301685	211	2	-0.58572	0.65369	0.65301	1.0	12268	0	-0.58572
MEN1	4	0.00091094	0.0033132	0.301685	212	4	-1.2572	0.99909	0.99908	1.0	19240	0	-1.2572
SRBD1	4	0.00091216	0.0033209	0.301685	213	4	-1.3186	0.99909	0.99908	1.0	19239	0	-1.3186
PPWD1	4	0.00092281	0.0033689	0.301685	214	3	-1.5477	0.9385	0.93846	1.0	17686	0	-1.5477
C11orf84	4	0.00092533	0.0033781	0.301685	215	4	-1.3941	0.99907	0.99906	1.0	19238	0	-1.3941
SSBP1	4	0.00092706	0.0033843	0.301685	216	2	-1.5878	0.92734	0.92712	1.0	17467	0	-1.5878
SETD8	4	0.00092878	0.0033879	0.301685	217	4	-1.374	0.99907	0.99906	1.0	19237	0	-1.374
POMP	4	0.00093114	0.0033965	0.301685	218	4	-1.1162	0.99907	0.99906	1.0	19236	0	-1.1162
WDR5	4	0.00093753	0.003419	0.302297	219	4	-1.1003	0.99906	0.99905	1.0	19235	0	-1.1003
ZFAND6	4	0.00095416	0.0034768	0.306008	220	2	-0.90639	0.0032455	0.010267	0.791605	251	2	-0.90639
PRDM10	4	0.00096664	0.0035111	0.306998	221	4	-1.4781	0.98714	0.98716	1.0	18801	0	-1.4781
MIS12	4	0.00096883	0.0035198	0.306998	222	4	-0.90104	0.99903	0.99902	1.0	19234	0	-0.90104
MED8	4	0.00097946	0.0035474	0.308018	223	4	-1.3287	0.99243	0.99249	1.0	18958	0	-1.3287
XPO1	4	0.00098676	0.0035786	0.30934	224	3	-1.3252	0.99901	0.999	1.0	19233	0	-1.3252
IPO9	4	0.00099653	0.0036103	0.310693	225	4	-1.1442	0.999	0.99899	1.0	19232	0	-1.1442
NPIPA1	4	0.0010031	0.003641	0.310747	226	3	-2.0588	0.90059	0.90023	1.0	16920	0	-2.0588
ORC3	4	0.0010036	0.003643	0.310747	227	4	-1.2138	0.999	0.99899	1.0	19231	0	-1.2138
POLR2J	4	0.0010115	0.0036686	0.310844	228	3	-1.569	0.9762	0.97618	1.0	18526	0	-1.569
ORC2	4	0.0010134	0.0036762	0.310844	229	2	-0.39684	0.51879	0.52452	1.0	9876	1	-0.39684
ALDH16A1	4	0.0010351	0.0037555	0.31461	230	3	-1.4043	0.4473	0.46633	1.0	8790	1	-1.4043
